ID_cliente,data,produto,valor,porte,codigo_municipio
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1412022,produto_14,50.0,Grande,4202404
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1412022,produto_14,50.0,Grande,4202404
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1412022,produto_14,50.0,Grande,4202404
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1522023,produto_00,430.35,Grande,4202404
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1522023,produto_00,430.35,Grande,4202404
2068915da032c82550a2a33108ec39891ba5dfefdb4e738b37142a83f7fbdce7,1522023,produto_00,430.35,Grande,4202404
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,1412019,produto_00,119.72999999999999,Grande,4218707
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,1412019,produto_00,119.72999999999999,Grande,4218707
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,2362022,produto_00,148.88,Grande,4218707
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,2362022,produto_00,148.88,Grande,4218707
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,2662023,produto_08,342.0,Grande,4218707
e7af912bc2a9d961a6776bd89dc8865b841d0d8779f5437e3297ac3070e7fa4c,2662023,produto_08,342.0,Grande,4218707
d58259aa5f9f2cb5451073e5d05700c16487d1c1f568f21bfa5f7b965ec5899a,13102021,produto_00,154.86,Pequena,4218707
d58259aa5f9f2cb5451073e5d05700c16487d1c1f568f21bfa5f7b965ec5899a,13102021,produto_00,154.86,Pequena,4218707
91ca77e5c9e4842de514ba8a55d71408053aeb6435d844e7d2933619e354156f,2152022,produto_00,35.97,Pequena,4218707
a77ba71ffa905e683a057cc5892d3f4f951981a27cbdea926a42786f3174287a,2182023,produto_04,83419.64,Grande,4215802
a77ba71ffa905e683a057cc5892d3f4f951981a27cbdea926a42786f3174287a,2182023,produto_04,83419.64,Grande,4215802
a77ba71ffa905e683a057cc5892d3f4f951981a27cbdea926a42786f3174287a,2182023,produto_04,83419.64,Grande,4215802
a77ba71ffa905e683a057cc5892d3f4f951981a27cbdea926a42786f3174287a,2182023,produto_04,83419.64,Grande,4215802
a77ba71ffa905e683a057cc5892d3f4f951981a27cbdea926a42786f3174287a,2182023,produto_04,83419.64,Grande,4215802
62718324b3ea7cbefe20559b22fcf60d391516c5080d02c731d1ac69cff675f2,1562020,produto_00,90.17,Grande,4209102
62718324b3ea7cbefe20559b22fcf60d391516c5080d02c731d1ac69cff675f2,1562020,produto_00,90.17,Grande,4209102
62718324b3ea7cbefe20559b22fcf60d391516c5080d02c731d1ac69cff675f2,22112021,produto_00,319.58,Grande,4209102
62718324b3ea7cbefe20559b22fcf60d391516c5080d02c731d1ac69cff675f2,22112021,produto_00,319.58,Grande,4209102
1e58b09b11de82ca3502f955b00dd8055491ca7dcc25caef0e216e4d4ca3aa3e,412022,produto_00,39.8,Media,4215802
1e58b09b11de82ca3502f955b00dd8055491ca7dcc25caef0e216e4d4ca3aa3e,412022,produto_00,39.8,Media,4215802
1e58b09b11de82ca3502f955b00dd8055491ca7dcc25caef0e216e4d4ca3aa3e,412022,produto_00,39.8,Media,4215802
1e58b09b11de82ca3502f955b00dd8055491ca7dcc25caef0e216e4d4ca3aa3e,412022,produto_00,39.8,Media,4215802
1e58b09b11de82ca3502f955b00dd8055491ca7dcc25caef0e216e4d4ca3aa3e,2652023,produto_00,31.18,Media,4215802
